Corpus_position,Speaker_ID,Left_context,last_left,Match,Right_context,Cx,Lexeme,Futurate,Negative,Interrogative,Clause_structure,Clause_type,If-clause,Person,Animacy,left_more_context
100152,Per_Morten,det står iallfall ikke USSR på n så det er vel ##,,skal,vi sette n her,skal,sette,,affirmative,affirmative,simple,main,no,1st,Animate,"| pang sa det # "" "" så smalt ja # "" "" # og hun # faen # borte var n | sett e åpningen på munnen foran | bare plukker sånne dreads fra gjerdet og sånn |ja en dread du vi kjenner n ikke kanskje han er i_stand til å gjøre det vet vi jo ikke | nei du se nå flyr n over gjerdet her | | han går og ordner også ja ja | hey are you looking for trouble * ja han er dritkald han er jo så kald og tung vi må ta n to da hvis du vipper den ned til meg så det står iallfall ikke USSR på n så det er vel ## skal vi sette n her"
1002,Trond,* _uforståelig_ jeg,jeg,skal,ikke si at du # gjør det,skal,si,,negative,affirmative,complex,main,no,1st,Animate,"* og så gå nei men du altså faen men det var jo ikke noe alvorlige greier det da # men du altså herregud er det noe å henge seg opp da * ja ja men det ja når folk står utafor her og skriker det så er det det skriker ? * nei da har ikke noe å si vil du ha mer kaffe eller Trond ? folk som e s- seere som står utafor huset her og skriker "" Lars er hypp på Anette "" * nei takk nei # gjorde dem det # da er det noe gærent # da føler jeg ok # den er mottatt nå er det nå er det tid for å gå i skrifterommet ja altså men det har har jo vært fra dag en her da at du har # ja hva skal jeg si da sverma rundt hun og lekeslåss og # stanga og hevet deg over hun i sofaen og liksom sånn ja men vil det si at jeg l- # liker a ? ja altså hvis du ikke liker en person så holder du deg langt unna nei nei nei jo * jo jo du orker ikke å ## du orker ikke å gå sånn og * jeg skal ikke si at du # gjør det"
100339,Lars_Joakim,_latter_ hva er det som er så gæ- # hva er det som er så gærent med at jeg # sa hva jeg fikk # jeg,jeg,skal,ikke si noe _uforståelig_,skal,si,,negative,affirmative,simple,main,no,1st,Animate,
100443,Rebekka,kan ikke jeg bare få prøve et par sånne fram og tilbake med han # dritten der ##,,skal,vi se om det er noe tæl i n,skal,se,,affirmative,affirmative,simple,main,no,1st,Animate,nei nå er vi kreative kunne vært i_hvert_fall # sånn ## ok gjør ikke noe om den er litt # slapp sånn ? * den litt # ja ja nei funker det det var bra nå er jeg klar ok det var en nå er det en null til # en en null en en til da nei ok ## den greier vi hva er det som er så gæ- # hva er det som er så gærent med at jeg # sa hva jeg fikk # jeg skal ikke si noe du bare # ok # jeg syns vi var dårlig nå # så sier du ## hva er vitsen med det da # oj hei går det bra ? ja det gjorde den har stått der siden du gikk ut for å spille fotball i_stad ## gikk og henta en øl og så ble gikk du ut hvor blir det av han derre Morten da det var det var venninna di som kunne det kan ikke jeg bare få prøve et par sånne fram og tilbake med han # dritten der ## skal vi se om det er noe tæl i n
110487,Anette,,,skal,du legge deg ute ?,skal,legge,,affirmative,interrogative,simple,main,no,2nd,Animate,gjør det så slipper du sånn derre bråhard start altså jeg har så vondt at e tar du femten på rolig tempo ... jeg veit ikke om noen ville våkne jeg # eller vekkes nei må La- Lars ville at Anette skulle # sykle før han da # betyr vel at hun må på om et kvarter igjen da mm dra av a dyna # sånn som jeg prøvde * mm m sykler Anne Mona nå m ## uff fy fader altså hæ ? er så trøtt trøtt nå jenta ? mm ferdig mm og du skal legge deg ute du eller ? hm skal du legge deg ute ?
113826,Anette,,,skal,bare spørre meg om noe,skal,spørre,,affirmative,affirmative,simple,main,no,1st,Animate,hva du ville hatt ? # e # tjue ildere for alltid uten bur # eller suge min hestekukk i # ildere for alltid så lenge jeg lever ? * nei du skal ha tjue ildere uten dritskål # og uten bur ja når de dør så får du nye # tjue # resten av livet * jepp ja jeg vil ha det og så eller sug min hestekukk i ti sekunder nei jeg ville hatt ilder med kondom nei ja for dere har nemlig ikke sagt noe om hvor jeg skal ha de jeg kan ha de i et hus mye på utsiden # nei du kan ikke lage nei da må d- nei nei nei * nei du må ha dem leiligheten * jo det var sånn spørsmålet var ikke sant det ? nei nei du må si reglene etter hvert * jo kan du komme etterpå ? ja men jeg har e- ei siste * hæ ? * ja skal bare spørre meg om noe
128586,Anette,takk,,skal,dere ha alle sammen,skal,ha,,affirmative,affirmative,simple,main,no,2nd,Animate,"jo jo jo gjorde jeg vel ikke ikke du hadd- # hadde ikke penisen framme men du dro n helt ned til # til starten på penis * jo # du gjorde det * ja når da stod midt på gulvet der og gjorde det mm # så der du ... hæ ? * du dro jeg ned buksene ? ja så sa du # "" skal dere ha så får dere ta "" # det var harry kom kan jeg ta det bort eller ok ok # én # to # tre gratulerer med da ' n # gratulerer med da ' n # gratulerer Anette gratulerer med da ' n # hurra # hurra # hurra # * # * å gud | gratulerer med dagen takk skal dere ha alle sammen"
128608,Anette,takk,,skal,du ha _uforståelig_ _latter_ # av Lars,skal,ha,,affirmative,affirmative,simple,main,no,2nd,Animate,
131695,Anette,,,skal,vi legge oss her da _uforståelig_,skal,legge,,affirmative,affirmative,simple,main,no,1st,Animate,
101144,Lars_Joakim,så ? # så hva for noe ? #,,vil,du fly ?,vil,fly,,affirmative,interrogative,simple,main,no,2nd,Animate,
